Date,Open,High,Low,Close,Adjusted_close,Volume
1990-09-05,901.74,912.36,894.44,907.49,907.49,120610000
1990-09-06,905.45,910.03,892.29,899.6,899.6,125620000
1990-09-07,897.51,916.31,894.0,910.46,910.46,123800000
1990-09-10,920.5,926.1,903.64,909.29,909.29,119730000
1990-09-11,909.44,916.75,899.5,908.95,908.95,113220000
1990-09-12,911.44,918.11,901.35,912.41,912.41,129890000
1990-09-13,910.9,914.17,894.73,899.89,899.89,123370000
1990-09-14,895.75,899.94,886.11,893.27,893.27,133390000
1990-09-17,888.49,899.11,882.99,894.05,894.05,110600000
1990-09-18,891.42,904.57,882.79,898.87,898.87,141130000
1990-09-19,898.72,906.42,885.86,893.46,893.46,147530000
1990-09-20,888.4,892.39,873.88,882.65,882.65,145100000
1990-09-21,884.01,890.54,870.42,881.67,881.67,201050000
1990-09-24,875.58,878.12,853.57,859.31,859.31,162210000
1990-09-25,860.87,874.12,852.1,867.16,867.16,155940000
1990-09-26,865.7,872.52,852.49,861.9,861.9,155570000
1990-09-27,867.4,872.42,840.22,849.81,849.81,182690000
1990-09-28,839.24,862.92,831.94,858.14,858.14,201010000
1990-10-01,865.55,888.74,857.07,882.7,882.7,202210000
1990-10-02,889.96,906.66,878.22,885.86,885.86,188360000
1990-10-03,886.4,895.17,873.1,879.34,879.34,135490000
1990-10-04,878.65,892.68,868.43,883.09,883.09,145410000
1990-10-05,868.96,893.66,861.41,881.48,881.48,153380000
1990-10-08,881.48,892.63,874.81,884.69,884.69,99470000
1990-10-09,876.36,884.11,858.44,861.51,861.51,145610000
1990-10-10,860.29,869.74,843.77,851.71,851.71,167890000
1990-10-11,853.13,857.46,830.62,839.0,839.0,180060000
1990-10-12,844.36,860.19,832.52,850.01,850.01,187940000
1990-10-15,854.15,866.48,836.66,855.17,855.17,164980000
1990-10-16,856.05,861.85,840.61,845.58,845.58,149570000
1990-10-17,844.02,858.78,837.3,847.23,847.23,161260000
1990-10-18,851.42,874.95,847.72,869.84,869.84,204110000
1990-10-19,881.77,895.51,868.37,887.42,887.42,221480000
1990-10-22,882.55,898.67,876.32,891.37,891.37,152650000
1990-10-23,888.25,896.09,878.6,884.01,884.01,146300000
1990-10-24,882.21,892.29,873.64,884.35,884.35,149290000
1990-10-25,885.67,891.12,869.79,875.73,875.73,141460000
1990-10-26,869.79,876.17,858.88,861.65,861.65,130190000
1990-10-29,862.09,872.71,850.84,857.61,857.61,133980000
1990-10-30,855.51,868.28,846.94,862.58,862.58,153450000
1990-10-31,864.33,873.73,853.66,862.53,862.53,156060000
1990-11-01,862.82,874.17,853.76,869.35,869.35,159270000
1990-11-02,869.01,883.96,864.62,879.43,879.43,168700000
1990-11-05,878.99,889.71,872.47,882.84,882.84,147510000
1990-11-06,880.6,887.32,871.1,876.56,876.56,141130000
1990-11-07,874.51,878.26,858.14,861.75,861.75,149130000
1990-11-08,858.73,871.35,852.06,861.02,861.02,155570000
1990-11-09,863.7,876.75,857.22,872.27,872.27,145160000
1990-11-12,875.44,896.34,873.1,892.59,892.59,161390000
1990-11-13,890.3,899.26,880.75,889.57,889.57,160240000
1990-11-14,888.83,904.18,883.91,896.68,896.68,179310000
1990-11-15,892.78,898.53,883.62,890.25,890.25,151370000
1990-11-16,891.86,899.26,881.19,890.98,890.98,165440000
1990-11-19,895.65,902.28,887.23,895.17,895.17,140950000
1990-11-20,893.85,898.09,879.68,883.09,883.09,161170000
1990-11-21,883.18,890.49,873.73,885.33,885.33,140660000
1990-11-23,884.94,891.22,878.6,881.67,881.67,63350000
1990-11-26,876.8,885.72,866.67,881.33,881.33,131540000
1990-11-27,882.7,890.98,875.19,883.72,883.72,147590000
1990-11-28,882.6,889.81,874.66,880.02,880.02,145490000
1990-11-29,877.44,883.67,869.06,875.19,875.19,140920000
1990-11-30,873.68,898.24,868.81,892.78,892.78,192350000
1990-12-03,898.29,905.79,889.18,898.72,898.72,177010000
1990-12-04,897.41,909.68,888.79,904.81,904.81,185820000
1990-12-05,902.86,919.14,897.0,916.65,916.65,205820000
1990-12-06,930.53,936.35,911.42,916.6,916.6,256380000
1990-12-07,915.62,921.44,904.92,912.15,912.15,164950000
1990-12-10,909.12,918.95,904.04,913.77,913.77,138650000
1990-12-11,912.2,916.94,903.06,909.42,909.42,145330000
1990-12-12,909.56,923.69,904.87,920.17,920.17,182270000
1990-12-13,919.05,926.53,911.22,918.31,918.31,162110000
1990-12-14,915.62,920.02,902.57,910.0,910.0,150880000
1990-12-17,906.14,912.94,898.61,907.85,907.85,118560000
1990-12-18,906.92,924.86,903.45,919.49,919.49,176460000
1990-12-19,919.97,929.51,912.54,922.47,922.47,180380000
1990-12-20,914.16,928.97,909.27,921.34,921.34,174700000
1990-12-21,929.85,934.4,917.92,925.5,925.5,233400000
1990-12-24,923.74,927.55,916.41,921.73,921.73,57200000
1990-12-26,922.22,932.44,918.41,925.69,925.69,78730000
1990-12-27,924.67,929.65,917.43,920.41,920.41,102900000
1990-12-28,919.05,924.42,913.72,920.37,920.37,111030000
1990-12-31,919.05,924.47,911.66,920.61,920.61,114130000
1991-01-02,918.51,928.33,910.64,914.89,914.89,126280000
1991-01-03,915.53,920.61,904.43,907.07,907.07,141450000
1991-01-04,906.82,916.11,897.15,905.6,905.6,140820000
1991-01-07,898.95,905.41,888.54,891.43,891.43,130610000
1991-01-08,891.69,900.08,881.67,890.74,890.74,143390000
1991-01-09,897.93,910.81,875.2,880.82,880.82,191100000
1991-01-10,885.73,893.92,879.37,889.23,889.23,124510000
1991-01-11,887.86,895.24,880.82,889.1,889.1,123050000
1991-01-14,877.4,887.89,869.42,882.07,882.07,120830000
1991-01-15,881.83,888.9,875.91,883.9,883.9,109980000
1991-01-16,882.41,897.22,876.68,890.53,890.53,134560000
1991-01-17,923.67,938.25,913.04,932.86,932.86,318890000
1991-01-18,927.76,949.79,923.86,944.88,944.88,226770000
1991-01-21,935.17,945.6,928.77,939.21,939.21,136290000
1991-01-22,937.86,945.41,924.73,931.32,931.32,175590000
1991-01-23,931.51,946.47,924.2,937.14,937.14,169440000
1991-01-24,943.15,961.91,939.21,954.21,954.21,223150000
1991-01-25,955.51,967.2,946.23,957.82,957.82,194350000
1991-01-28,957.0,966.62,948.49,955.18,955.18,141270000
1991-01-29,953.16,961.91,944.55,955.66,955.66,155740000
1991-01-30,955.85,981.68,952.05,975.52,975.52,226790000
1991-01-31,973.69,987.01,965.71,981.48,981.48,204240000
1991-02-01,981.05,989.23,966.57,977.78,977.78,246670000
1991-02-04,979.8,997.45,971.58,991.54,991.54,250750000
1991-02-05,991.39,1005.87,982.54,998.27,998.27,290570000
1991-02-06,994.95,1019.62,989.56,1014.96,1014.96,276940000
1991-02-07,1015.39,1032.1801,1001.2,1010.48,1010.48,292190000
1991-02-08,1008.51,1021.74,1000.91,1014.91,1014.91,187830000
1991-02-11,1015.2,1041.46,1011.83,1037.85,1037.85,265930000
1991-02-12,1029.77,1045.16,1019.62,1027.9,1027.9,256160000
1991-02-13,1026.02,1041.0699,1017.12,1034.87,1034.87,209960000
1991-02-14,1035.3,1043.48,1015.44,1022.85,1022.85,230750000
1991-02-15,1026.0699,1046.5601,1020.06,1040.35,1040.35,222370000
1991-02-19,1037.95,1048.77,1028.28,1040.26,1040.26,189900000
1991-02-20,1034.58,1041.17,1024.87,1032.1801,1032.1801,185680000
1991-02-21,1032.08,1043.09,1023.13,1031.89,1031.89,180770000
1991-02-22,1030.11,1050.3101,1022.22,1033.14,1033.14,218760000
1991-02-25,1044.01,1048.8199,1024.62,1034.15,1034.15,193820000
1991-02-26,1026.55,1033.96,1014.57,1022.08,1022.08,164170000
1991-02-27,1023.18,1040.5,1015.73,1033.23,1033.23,211410000
1991-02-28,1039.58,1044.73,1023.66,1031.36,1031.36,223010000
1991-03-01,1025.39,1047.28,1019.53,1042.52,1042.52,221510000
1991-03-04,1045.35,1053.72,1034.2,1040.0601,1040.0601,199830000
1991-03-05,1042.61,1066.28,1037.66,1059.3,1059.3,253700000
1991-03-06,1067.53,1072.38,1048.4301,1053.77,1053.77,262290000
1991-03-07,1051.9399,1060.55,1042.3199,1048.72,1048.72,197060000
1991-03-08,1050.45,1059.59,1035.4,1042.13,1042.13,206850000
1991-03-11,1042.13,1050.84,1031.45,1038.38,1038.38,161600000
1991-03-12,1037.13,1046.89,1028.14,1034.0,1034.0,176440000
1991-03-13,1032.5601,1045.02,1026.5,1040.5,1040.5,176000000
1991-03-14,1042.8,1054.3,1029.96,1037.71,1037.71,231000000
1991-03-15,1039.29,1043.29,1024.62,1035.11,1035.11,237660000
1991-03-18,1030.11,1040.83,1020.78,1031.26,1031.26,163100000
1991-03-19,1017.51,1026.6899,1005.15,1014.62,1014.62,177070000
1991-03-20,1011.83,1024.29,1006.01,1016.88,1016.88,196810000
1991-03-21,1021.69,1028.28,1007.94,1012.94,1012.94,199830000
1991-03-22,1010.34,1020.54,1002.6,1012.46,1012.46,160890000
1991-03-25,1011.83,1025.3,1005.43,1015.68,1015.68,153920000
1991-03-26,1013.13,1037.51,1009.33,1034.05,1034.05,198720000
1991-03-27,1039.77,1050.02,1027.9,1037.51,1037.51,201830000
1991-03-28,1039.39,1045.98,1028.1801,1034.97,1034.97,150750000
1991-04-01,1031.6899,1037.71,1018.66,1023.95,1023.95,144010000
1991-04-02,1027.27,1045.35,1022.32,1042.3199,1042.3199,189530000
1991-04-03,1046.36,1052.47,1033.33,1038.62,1038.62,213720000
1991-04-04,1039.77,1049.78,1030.16,1039.53,1039.53,198120000
1991-04-05,1042.08,1046.84,1024.77,1031.55,1031.55,187410000
1991-04-08,1033.23,1042.52,1025.39,1038.86,1038.86,138580000
1991-04-09,1035.35,1042.66,1022.08,1025.54,1025.54,169940000
1991-04-10,1026.9301,1036.26,1017.65,1026.84,1026.84,167940000
1991-04-11,1032.42,1046.89,1026.74,1036.6,1036.6,196570000
1991-04-12,1044.4399,1051.13,1029.63,1042.37,1042.37,198610000
1991-04-15,1044.01,1052.66,1033.47,1043.72,1043.72,161800000
1991-04-16,1042.61,1063.92,1036.46,1061.27,1061.27,214480000
1991-04-17,1061.13,1077.96,1053.39,1070.03,1070.03,246930000
1991-04-18,1065.89,1080.75,1058.87,1069.59,1069.59,217410000
1991-04-19,1063.25,1071.28,1051.7,1058.63,1058.63,195510000
1991-04-22,1054.64,1059.11,1038.04,1044.39,1044.39,164410000
1991-04-23,1047.9,1055.26,1035.64,1045.3101,1045.3101,167840000
1991-04-24,1047.52,1058.72,1039.4399,1053.48,1053.48,166800000
1991-04-25,1050.6899,1059.4,1040.4,1046.9399,1046.9399,166940000
1991-04-26,1043.14,1051.51,1035.49,1044.49,1044.49,154550000
1991-04-29,1045.26,1053.58,1029.53,1031.74,1031.74,149860000
1991-04-30,1034.39,1047.95,1023.42,1033.52,1033.52,204930000
1991-05-01,1036.79,1054.3,1030.9301,1049.15,1049.15,181900000
1991-05-02,1054.2,1062.09,1044.01,1051.8,1051.8,187090000
1991-05-03,1049.15,1059.49,1041.17,1052.42,1052.42,158160000
1991-05-06,1050.47,1060.84,1043.2,1055.16,1055.16,128360000
1991-05-07,1055.75,1062.5699,1044.34,1049.29,1049.29,153290000
1991-05-08,1048.97,1059.52,1043.2,1054.2,1054.2,157240000
1991-05-09,1057.11,1073.89,1053.29,1069.16,1069.16,180210000
1991-05-10,1071.75,1075.39,1048.2,1052.16,1052.16,172730000
1991-05-13,1055.2,1060.89,1041.92,1051.88,1051.88,129620000
1991-05-14,1048.38,1051.52,1031.38,1037.15,1037.15,207910000
1991-05-15,1036.1,1042.02,1018.1,1028.33,1028.33,193110000
1991-05-16,1033.5601,1042.0601,1027.1,1037.15,1037.15,154460000
1991-05-17,1033.42,1041.47,1024.96,1034.42,1034.42,174210000
1991-05-20,1035.65,1040.11,1025.65,1031.5601,1031.5601,109510000
1991-05-21,1032.1,1043.29,1024.78,1034.65,1034.65,186860000
1991-05-22,1035.88,1044.15,1027.83,1038.01,1038.01,159310000
1991-05-23,1038.92,1047.97,1029.24,1037.1,1037.1,173080000
1991-05-24,1038.65,1047.7,1034.5601,1042.47,1042.47,124500000
1991-05-28,1044.74,1059.61,1038.6,1056.79,1056.79,161950000
1991-05-29,1057.48,1067.52,1050.52,1061.2,1061.2,188150000
1991-05-30,1061.02,1081.4399,1056.7,1074.5699,1074.5699,234090000
1991-05-31,1075.71,1091.35,1065.66,1085.76,1085.76,231680000
1991-06-03,1083.99,1097.04,1076.53,1090.17,1090.17,173710000
1991-06-04,1083.21,1095.76,1077.39,1091.26,1091.26,180170000
1991-06-05,1091.17,1098.54,1078.53,1084.49,1084.49,186300000
1991-06-06,1083.48,1091.4399,1073.8,1080.4399,1080.4399,168050000
1991-06-07,1076.3,1082.89,1065.89,1073.21,1073.21,167830000
1991-06-10,1073.21,1078.9399,1065.8,1071.66,1071.66,127420000
1991-06-11,1072.9399,1083.85,1066.75,1075.16,1075.16,161240000
1991-06-12,1072.34,1075.75,1055.34,1064.48,1064.48,165720000
1991-06-13,1063.75,1072.3,1058.4301,1067.66,1067.66,144870000
1991-06-14,1071.39,1085.03,1067.66,1080.5699,1080.5699,167530000
1991-06-17,1080.71,1087.8,1071.16,1075.85,1075.85,133910000
1991-06-18,1074.9399,1083.58,1065.84,1071.5699,1071.5699,154900000
1991-06-19,1065.11,1065.9301,1045.79,1053.52,1053.52,156070000
1991-06-20,1049.97,1058.61,1041.33,1050.75,1050.75,163780000
1991-06-21,1051.52,1059.25,1044.15,1053.16,1053.16,193110000
1991-06-24,1047.24,1049.4301,1030.47,1034.47,1034.47,137700000
1991-06-25,1037.97,1043.02,1022.6,1029.42,1029.42,155450000
1991-06-26,1028.47,1038.92,1019.78,1031.15,1031.15,186830000
1991-06-27,1034.24,1042.33,1028.33,1037.6,1037.6,155820000
1991-06-28,1033.28,1039.88,1019.01,1030.42,1030.42,162670000
1991-07-01,1036.74,1052.84,1032.15,1048.9301,1048.9301,166880000
1991-07-02,1047.47,1058.98,1041.0601,1052.7,1052.7,157140000
1991-07-03,1045.83,1052.7,1036.29,1045.65,1045.65,139290000
1991-07-05,1042.7,1053.9301,1040.51,1047.5601,1047.5601,69790000
1991-07-08,1040.88,1060.25,1036.1,1058.02,1058.02,138210000
1991-07-09,1058.38,1064.39,1047.9301,1052.9301,1052.9301,151430000
1991-07-10,1056.29,1067.02,1045.88,1050.75,1050.75,178170000
1991-07-11,1054.75,1062.48,1047.24,1057.2,1057.2,157680000
1991-07-12,1061.02,1070.3,1048.9301,1061.02,1061.02,173060000
1991-07-15,1061.11,1069.39,1054.7,1063.34,1063.34,159340000
1991-07-16,1063.84,1070.3,1054.25,1061.25,1061.25,182740000
1991-07-17,1059.2,1068.8,1051.5601,1058.29,1058.29,194150000
1991-07-18,1061.0699,1076.66,1057.48,1072.71,1072.71,199470000
1991-07-19,1075.12,1080.48,1064.02,1072.21,1072.21,187290000
1991-07-22,1070.84,1078.35,1062.98,1070.4301,1070.4301,148880000
1991-07-23,1072.98,1078.89,1057.5699,1061.5699,1061.5699,160010000
1991-07-24,1063.89,1068.66,1050.75,1056.02,1056.02,158530000
1991-07-25,1058.84,1069.48,1050.11,1063.5699,1063.5699,145510000
1991-07-26,1063.16,1070.66,1054.25,1062.3,1062.3,127690000
1991-07-29,1062.3,1071.84,1057.02,1067.34,1067.34,135240000
1991-07-30,1070.4301,1081.0699,1063.66,1074.75,1074.75,168950000
1991-07-31,1075.35,1081.39,1066.21,1075.8,1075.8,166650000
1991-08-01,1075.21,1082.3,1066.5699,1075.48,1075.48,169920000
1991-08-02,1080.85,1084.9399,1067.34,1073.4399,1073.4399,162050000
1991-08-05,1073.11,1077.24,1063.48,1068.16,1068.16,125790000
1991-08-06,1066.98,1082.33,1060.9301,1079.33,1079.33,174340000
1991-08-07,1078.84,1087.38,1071.9301,1079.33,1079.33,170820000
1991-08-08,1078.2,1085.74,1069.16,1075.4301,1075.4301,163620000
1991-08-09,1075.65,1081.88,1065.5699,1069.47,1069.47,143610000
1991-08-12,1066.98,1074.65,1061.0699,1070.34,1070.34,145280000
1991-08-13,1071.79,1082.74,1064.9301,1071.84,1071.84,211890000
1991-08-14,1075.38,1080.97,1062.52,1067.38,1067.38,195890000
1991-08-15,1067.52,1075.84,1060.98,1066.29,1066.29,174310000
1991-08-16,1067.37,1072.0601,1049.98,1057.0699,1057.0699,188360000
1991-08-19,1018.31,1040.35,1010.91,1029.72,1029.72,229590000
1991-08-20,1037.62,1043.53,1022.86,1032.8101,1032.8101,184090000
1991-08-21,1048.89,1067.5699,1042.17,1065.0699,1065.0699,231720000
1991-08-22,1069.16,1074.7,1059.9301,1067.16,1067.16,172900000
1991-08-23,1066.39,1088.65,1064.16,1080.5601,1080.5601,187010000
1991-08-26,1079.7,1086.33,1073.29,1079.79,1079.79,128400000
1991-08-27,1078.9301,1082.74,1068.11,1074.75,1074.75,143920000
1991-08-28,1074.97,1088.15,1071.2,1084.7,1084.7,169590000
1991-08-29,1085.51,1090.74,1076.79,1083.52,1083.52,150180000
1991-08-30,1083.33,1087.97,1074.5601,1082.0601,1082.0601,125830000
1991-09-03,1081.38,1089.92,1069.61,1071.97,1071.97,153550000
1991-09-04,1073.0601,1077.65,1061.5699,1068.49,1068.49,156770000
1991-09-05,1069.97,1076.11,1060.75,1066.11,1066.11,162250000
1991-09-06,1065.5699,1073.16,1055.4301,1064.4301,1064.4301,166410000
1991-09-09,1062.66,1069.75,1056.66,1063.3,1063.3,109250000
1991-09-10,1062.98,1065.39,1049.71,1055.12,1055.12,146730000
1991-09-11,1057.02,1065.29,1049.66,1060.02,1060.02,147910000
1991-09-12,1063.98,1072.38,1056.89,1066.66,1066.66,160310000
1991-09-13,1068.4301,1072.75,1054.0699,1061.39,1061.39,167800000
1991-09-16,1060.75,1071.66,1055.12,1068.16,1068.16,171960000
1991-09-17,1065.66,1075.15,1059.84,1066.16,1066.16,168310000
1991-09-18,1063.25,1070.79,1057.52,1067.02,1067.02,141280000
1991-09-19,1066.48,1077.65,1061.02,1069.97,1069.97,210770000
1991-09-20,1073.5601,1078.47,1063.34,1070.61,1070.61,241340000
1991-09-23,1069.7,1076.97,1063.11,1067.84,1067.84,145530000
1991-09-24,1068.7,1077.79,1061.34,1073.2,1073.2,170300000
1991-09-25,1074.47,1081.0601,1063.75,1071.5601,1071.5601,153800000
1991-09-26,1068.9301,1079.74,1062.75,1072.34,1072.34,160190000
1991-09-27,1072.61,1082.02,1062.9301,1069.66,1069.66,160430000
1991-09-30,1068.75,1080.0601,1061.5699,1074.9301,1074.9301,146740000
1991-10-01,1077.15,1084.33,1068.88,1075.88,1075.88,163520000
1991-10-02,1077.25,1087.3199,1067.9301,1076.7,1076.7,166290000
1991-10-03,1074.39,1082.1899,1064.05,1069.8199,1069.8199,174230000
1991-10-04,1070.5601,1076.7,1059.24,1061.97,1061.97,163930000
1991-10-07,1061.0,1065.4301,1050.0601,1055.6899,1055.6899,148430000
