Date,Open,High,Low,Close,Adjusted_close,Volume
2018-10-08,29656.5076,29656.5076,29656.5076,29656.5076,29656.5076,0
2018-10-09,29603.6013,29603.6013,29603.6013,29603.6013,29603.6013,0
2018-10-10,28639.9401,28639.9401,28639.9401,28639.9401,28639.9401,0
2018-10-11,28063.2267,28063.2267,28063.2267,28063.2267,28063.2267,0
2018-10-12,28428.477,28428.477,28428.477,28428.477,28428.477,0
2018-10-15,28296.3745,28296.3745,28296.3745,28296.3745,28296.3745,0
2018-10-16,28921.3153,28921.3153,28921.3153,28921.3153,28921.3153,0
2018-10-17,28899.5746,28899.5746,28899.5746,28899.5746,28899.5746,0
2018-10-18,28471.8743,28471.8743,28471.8743,28471.8743,28471.8743,0
2018-10-19,28425.9598,28425.9598,28425.9598,28425.9598,28425.9598,0
2018-10-22,28306.1518,28306.1518,28306.1518,28306.1518,28306.1518,0
2018-10-23,28144.9352,28144.9352,28144.9352,28144.9352,28144.9352,0
2018-10-24,27261.3131,27261.3131,27261.3131,27261.3131,27261.3131,0
2018-10-25,27776.5707,27776.5707,27776.5707,27776.5707,27776.5707,0
2018-10-26,27308.8414,27308.8414,27308.8414,27308.8414,27308.8414,0
2018-10-29,27124.7218,27124.7218,27124.7218,27124.7218,27124.7218,0
2018-10-30,27558.4553,27558.4553,27558.4553,27558.4553,27558.4553,0
2018-10-31,27856.9724,27856.9724,27856.9724,27856.9724,27856.9724,0
2018-11-01,28193.3726,28193.3726,28193.3726,28193.3726,28193.3726,0
2018-11-02,28033.6876,28033.6876,28033.6876,28033.6876,28033.6876,0
2018-11-05,28161.2293,28161.2293,28161.2293,28161.2293,28161.2293,0
2018-11-06,28325.3269,28325.3269,28325.3269,28325.3269,28325.3269,0
2018-11-07,28912.5603,28912.5603,28912.5603,28912.5603,28912.5603,0
2018-11-08,28828.6022,28828.6022,28828.6022,28828.6022,28828.6022,0
2018-11-09,28540.2823,28540.2823,28540.2823,28540.2823,28540.2823,0
2018-11-12,27977.4766,27977.4766,27977.4766,27977.4766,27977.4766,0
2018-11-13,27942.909,27942.909,27942.909,27942.909,27942.909,0
2018-11-14,27726.975,27726.975,27726.975,27726.975,27726.975,0
2018-11-15,28029.6537,28029.6537,28029.6537,28029.6537,28029.6537,0
2018-11-16,28084.8833,28084.8833,28084.8833,28084.8833,28084.8833,0
2018-11-19,27595.923,27595.923,27595.923,27595.923,27595.923,0
2018-11-20,27099.0338,27099.0338,27099.0338,27099.0338,27099.0338,0
2018-11-21,27220.4988,27220.4988,27220.4988,27220.4988,27220.4988,0
2018-11-23,27066.9022,27066.9022,27066.9022,27066.9022,27066.9022,0
2018-11-26,27486.624,27486.624,27486.624,27486.624,27486.624,0
2018-11-27,27529.4786,27529.4786,27529.4786,27529.4786,27529.4786,0
2018-11-28,28172.8921,28172.8921,28172.8921,28172.8921,28172.8921,0
2018-11-29,28105.8729,28105.8729,28105.8729,28105.8729,28105.8729,0
2018-11-30,28328.139,28328.139,28328.139,28328.139,28328.139,0
2018-12-03,28640.4399,28640.4399,28640.4399,28640.4399,28640.4399,0
2018-12-04,27676.7977,27676.7977,27676.7977,27676.7977,27676.7977,0
2018-12-06,27652.6984,27652.6984,27652.6984,27652.6984,27652.6984,0
2018-12-07,27015.2322,27015.2322,27015.2322,27015.2322,27015.2322,0
2018-12-10,27034.8476,27034.8476,27034.8476,27034.8476,27034.8476,0
2018-12-11,27015.8265,27015.8265,27015.8265,27015.8265,27015.8265,0
2018-12-12,27170.2283,27170.2283,27170.2283,27170.2283,27170.2283,0
2018-12-13,27118.0119,27118.0119,27118.0119,27118.0119,27118.0119,0
2018-12-14,26621.5331,26621.5331,26621.5331,26621.5331,26621.5331,0
2018-12-17,26046.3794,26046.3794,26046.3794,26046.3794,26046.3794,0
2018-12-18,26049.5598,26049.5598,26049.5598,26049.5598,26049.5598,0
2018-12-19,25640.0089,25640.0089,25640.0089,25640.0089,25640.0089,0
2018-12-20,25230.2549,25230.2549,25230.2549,25230.2549,25230.2549,0
2018-12-21,24701.1744,24701.1744,24701.1744,24701.1744,24701.1744,0
2018-12-24,24051.2368,24051.2368,24051.2368,24051.2368,24051.2368,0
2018-12-26,25252.2637,25252.2637,25252.2637,25252.2637,25252.2637,0
2018-12-27,25446.2087,25446.2087,25446.2087,25446.2087,25446.2087,0
2018-12-28,25432.9665,25432.9665,25432.9665,25432.9665,25432.9665,0
2018-12-31,25647.2927,25647.2927,25647.2927,25647.2927,25647.2927,0
2019-01-02,25683.0661,25683.0661,25683.0661,25683.0661,25683.0661,0
2019-01-03,25073.6793,25073.6793,25073.6793,25073.6793,25073.6793,0
2019-01-04,25939.3313,25939.3313,25939.3313,25939.3313,25939.3313,0
2019-01-07,26170.2413,26170.2413,26170.2413,26170.2413,26170.2413,0
2019-01-08,26444.2933,26444.2933,26444.2933,26444.2933,26444.2933,0
2019-01-09,26568.5712,26568.5712,26568.5712,26568.5712,26568.5712,0
2019-01-10,26690.4978,26690.4978,26690.4978,26690.4978,26690.4978,0
2019-01-11,26693.3674,26693.3674,26693.3674,26693.3674,26693.3674,0
2019-01-14,26541.1601,26541.1601,26541.1601,26541.1601,26541.1601,0
2019-01-15,26819.0382,26819.0382,26819.0382,26819.0382,26819.0382,0
2019-01-16,26898.8749,26898.8749,26898.8749,26898.8749,26898.8749,0
2019-01-17,27105.9243,27105.9243,27105.9243,27105.9243,27105.9243,0
2019-01-18,27458.1222,27458.1222,27458.1222,27458.1222,27458.1222,0
